pH,Cond,Turb,SS,class
8.87,1270,6,6.1,0
8.5,422,5.6,6.1,0
8.92,270,5.6,6.1,0
8.4,605,5.3,6.1,0
8.92,248,5,6.1,0
9.01,307,4.8,6.1,0
9.23,203,4.8,6.1,0
8.32,406,4.6,6.1,0
8.33,311,4.6,6.1,0
8.1,512,4.4,6.1,0
8.1,512,4.4,6.1,0
8.82,279,4.4,6.1,0
8.12,603,4.3,6.1,1
7.66,129,4.3,6.1,0
8.49,387,4.2,6.1,0
8.18,428,4,6.1,0
8.18,428,4,6.1,0
8.15,485,3.9,6.1,0
8.18,287,3.9,6.1,0
9.02,286,3.8,6.1,0
8.16,501,3.4,6.1,0
8.16,501,3.4,6.1,0
8.76,386,3.4,6.1,0
8.2,261,3.3,6.1,0
8.68,268,3,6.1,0
9,214,3,6.1,0
8.61,280,2.5,6.1,0
8.86,240,1.9,6.1,0
8.24,333,8.8,6,0
8.02,258,8.8,6,0
8.38,409,7.3,6,0
8.32,300,7.3,6,0
8.32,300,7.3,6,0
8.3,264,7.2,6,0
8.6,311,6.9,6,0
8.2,259,6.8,6,0
8.59,259,6.7,6,0
8.5,360,6.6,6,0
7.7,631,6.5,6,0
8.7,327,6.5,6,0
8.62,296,6.5,6,0
8.4,405,6.4,6,0
8.24,354,6.2,6,0
8,258,6.2,6,0
8.44,374,6.1,6,0
8.38,312,6.1,6,0
8.38,312,6.1,6,0
8.74,277,6.1,6,0
8.18,594,6,6,0
7.5,596,5.9,6,0
8.54,426,5.9,6,0
8.54,426,5.9,6,0
8.11,568,5.8,6,0
8.13,296,5.8,6,0
8.9,1170,5.7,6,0
8.3,333,5.7,6,0
8.22,303,5.6,6,0
9.3,770,5.5,6,0
8.19,472,5.5,6,0
8.41,403,5.4,6,0
8.5,354,5.4,6,0
8.52,317,5.4,6,0
8.38,399,5.3,6,0
8.8,535,5.2,6,0
8.53,381,5.1,6,0
8.55,284,5.1,6,0
9.07,201,5.1,6,0
8.4,688,5,6,0
9.2,210,5,6,0
9,210,5,6,0
8.78,389,4.9,6,0
8.24,370,4.9,6,0
8.54,294,4.9,6,0
8.32,556,4.7,6,0
8.42,453,4.7,6,0
8.42,453,4.7,6,0
7.8,619,4.6,6,0
7.68,321,4.6,6,0
8.26,269,4.5,6,0
8.61,656,4.2,6,0
8.29,436,4.2,6,0
8.67,307,4.2,6,0
8.56,295,4.2,6,0
8.56,295,4.2,6,0
8.44,374,4.1,6,0
8.6,2030,4,6,0
8.2,526,3.9,6,0
8.5,336,3.9,6,0
8.36,264,3.8,6,0
8.7,1380,3.7,6,0
7.72,548,3.7,6,0
7.72,548,3.7,6,0
8.96,195,3.7,6,0
8.96,195,3.7,6,0
8.9,477,3.6,6,0
9.08,235,2.7,6,0
9.46,179,2.5,6,0
8.78,271,2.4,6,0
9.23,183,2.2,6,0
9.23,183,2.2,6,0
9.22,177,1.8,6,0
9.22,177,1.8,6,0
8.4,399,1.7,6,0
8.56,396,8.5,5.9,0
7.92,460,8.1,5.9,0
8.46,448,8.1,5.9,0
7.94,266,7.6,5.9,0
8.05,293,7.3,5.9,0
8.05,293,7.3,5.9,0
8.6,302,7,5.9,0
8.1,488,6.9,5.9,0
8.28,362,6.7,5.9,0
8.51,247,6.6,5.9,0
8.53,394,6.4,5.9,0
8.5,427,6.3,5.9,0
8.5,427,6.3,5.9,0
8.64,322,6.3,5.9,0
8.17,352,6,5.9,0
8.04,278,6,5.9,0
8.4,418,5.9,5.9,0
8.2,324,5.8,5.9,0
8.2,324,5.8,5.9,0
8.73,252,5.8,5.9,0
8.82,272,5.7,5.9,0
8.57,298,5.4,5.9,0
8.4,421,5.3,5.9,0
8.82,274,5.3,5.9,0
8.13,643,5.1,5.9,0
8.74,359,4.7,5.9,0
8.63,458,4.6,5.9,0
8.76,387,4.4,5.9,0
8.55,354,4.4,5.9,0
8.25,608,4.3,5.9,0
9.18,317,4,5.9,0
8.22,393,3.7,5.9,0
8.22,393,3.7,5.9,0
8.69,431,3.6,5.9,0
7.42,406,3.6,5.9,0
7.42,406,3.6,5.9,0
9.1,263,3.6,5.9,0
9.1,263,3.6,5.9,0
8.66,430,3.5,5.9,0
9.04,230,3.4,5.9,0
8.8,281,3.2,5.9,0
8.96,241,3.2,5.9,0
8.52,367,3.1,5.9,0
8.56,262,2.3,5.9,0
8.75,333,0.85,5.9,0
9.14,545,13,5.8,0
9.14,545,13,5.8,0
8.46,239,13,5.8,0
8.08,338,12,5.8,0
9.36,586,11,5.8,0
8.46,422,11,5.8,0
8,188,7.9,5.8,0
8.89,455,7.4,5.8,0
8.34,392,7.2,5.8,0
8.18,292,7,5.8,0
8.4,270,6.8,5.8,0
8.36,379,6.7,5.8,0
8.88,216,6.6,5.8,0
8.54,395,6.4,5.8,0
8.15,292,6.2,5.8,0
8.15,292,6.2,5.8,0
9.23,226,6.2,5.8,0
8.29,283,6,5.8,0
8.13,473,5.9,5.8,0
8.6,250,5.9,5.8,0
8.22,287,5.7,5.8,0
8.08,230,5.7,5.8,0
8.6,598,5.6,5.8,0
7.3,488,5.6,5.8,0
8.11,517,5.5,5.8,0
8.11,517,5.5,5.8,0
8.4,346,5.5,5.8,0
8.47,308,5.5,5.8,0
8.56,293,5.5,5.8,0
8.02,561,5.4,5.8,0
8.38,374,5.4,5.8,0
8.38,374,5.4,5.8,0
8.8,320,5.4,5.8,0
8.35,289,5.4,5.8,0
8.35,289,5.4,5.8,0
8.24,342,5.3,5.8,0
8.66,284,5.3,5.8,0
8.66,284,5.3,5.8,0
8.56,288,5.2,5.8,0
9.21,307,5.1,5.8,0
8.96,336,4.9,5.8,0
8.96,336,4.9,5.8,0
8.8,280,4.9,5.8,0
8.59,335,4.8,5.8,0
8.97,247,4.8,5.8,0
8.06,425,4.7,5.8,0
8.06,425,4.7,5.8,0
8.52,294,4.7,5.8,0
8.92,215,4.7,5.8,0
9.5,211,4.7,5.8,0
7.88,749,4.6,5.8,1
8.48,346,4.6,5.8,0
8.29,342,4.5,5.8,0
7.78,296,4.5,5.8,0
7.78,296,4.5,5.8,0
8.1,260,4.5,5.8,0
8.67,1720,4.4,5.8,0
8.67,1720,4.4,5.8,0
8,268,4.4,5.8,0
8.6,238,4.4,5.8,0
10.99,357,4.1,5.8,0
10.99,357,4.1,5.8,0
8.59,349,4.1,5.8,0
8.59,349,4.1,5.8,0
8.61,177,4.1,5.8,0
8.69,320,4,5.8,0
8.48,376,3.9,5.8,0
8.95,317,3.9,5.8,0
8.38,304,3.9,5.8,0
8.6,1180,3.6,5.8,0
7.7,640,3.6,5.8,0
8.56,252,3.6,5.8,0
8.25,214,3.6,5.8,0
8.8,236,3.5,5.8,0
8.02,630,3.4,5.8,1
8.02,630,3.4,5.8,1
8.73,419,3.4,5.8,0
9.04,289,3.4,5.8,0
8.78,277,3.4,5.8,0
8.41,355,3.3,5.8,0
8.41,355,3.3,5.8,0
8.75,211,3.3,5.8,0
8.6,1230,3.2,5.8,0
8.96,286,3.1,5.8,0
8.46,255,3,5.8,0
9.2,250,2.8,5.8,0
9.2,250,2.8,5.8,0
8.13,242,2.6,5.8,0
8.63,375,2.5,5.8,0
8.57,304,2.3,5.8,0
8.57,304,2.3,5.8,0
7.77,414,2.2,5.8,0
7.77,414,2.2,5.8,0
8.7,270,1.9,5.8,0
8.34,326,1.5,5.8,0
8.5,214,1.5,5.8,0
8.5,214,1.5,5.8,0
8.81,248,1.4,5.8,0
8.42,222,14,5.7,0
8.02,295,6.6,5.7,0
9.42,250,6.4,5.7,0
9.42,250,6.4,5.7,0
8.94,308,6.1,5.7,0
8.58,303,6.1,5.7,0
9.12,292,6,5.7,0
8.3,560,5.9,5.7,0
8.2,264,5.9,5.7,0
8.19,412,5.8,5.7,0
8.7,336,5.7,5.7,0
7.5,288,5.7,5.7,0
8.2,459,5.6,5.7,0
8.33,343,5.6,5.7,0
8.88,215,5.5,5.7,0
7.7,667,5.4,5.7,0
8.53,422,5.4,5.7,0
9.4,264,5.4,5.7,0
8.92,236,5.4,5.7,0
8.36,325,5.3,5.7,0
8.66,307,5.3,5.7,0
8.66,307,5.3,5.7,0
8.43,370,5.2,5.7,0
8.43,588,5.1,5.7,0
8.44,392,5.1,5.7,0
8.42,338,5,5.7,0
7.81,317,4.9,5.7,0
8.84,372,4.8,5.7,0
8.66,1130,4.6,5.7,0
7.74,518,4.5,5.7,0
7.74,518,4.5,5.7,0
8.36,432,4.5,5.7,0
9.14,213,4.3,5.7,0
8.42,452,4.2,5.7,0
8.42,452,4.2,5.7,0
8.38,401,4.1,5.7,0
8.38,401,4.1,5.7,0
9.4,241,4,5.7,0
8.3,553,3.5,5.7,0
7.88,243,3.5,5.7,0
8.64,618,3.4,5.7,0
8.64,618,3.4,5.7,0
8.8,556,3.4,5.7,0
8.5,326,3.4,5.7,0
8.08,494,3.3,5.7,0
8.08,494,3.3,5.7,0
9.36,187,3.2,5.7,0
9.36,187,3.2,5.7,0
8.3,265,3.1,5.7,0
8.72,327,3,5.7,0
9.14,183,3,5.7,0
7.38,88,3,5.7,0
7.38,88,3,5.7,0
8.08,432,2.8,5.7,0
8.08,432,2.8,5.7,0
8.32,391,2.5,5.7,0
8.32,391,2.5,5.7,0
8.73,1040,1.9,5.7,0
8.84,245,1.6,5.7,0
9.22,180,1.6,5.7,0
9.22,180,1.6,5.7,0
8.8,263,1.5,5.7,0
7.7,187,9.8,5.6,0
8.3,414,8.3,5.6,0
7.43,229,8.2,5.6,0
8.58,436,7.7,5.6,0
8.09,401,7.4,5.6,0
8.28,369,7.4,5.6,0
8.2,241,7.3,5.6,0
8.16,247,7.1,5.6,0
8.54,309,7,5.6,0
8.55,378,6.8,5.6,0
8.2,407,6.6,5.6,0
8.93,217,6.6,5.6,0
8.27,276,6.4,5.6,0
8.9,244,6.4,5.6,0
7.6,215,6.3,5.6,0
8.56,247,6.2,5.6,0
8.33,476,6.1,5.6,0
7.92,232,5.9,5.6,0
8.28,282,5.8,5.6,0
8.38,358,5.7,5.6,0
8.26,350,5.7,5.6,0
8.2,545,5.6,5.6,0
8.03,413,5.6,5.6,0
8.03,413,5.6,5.6,0
8.5,344,5.6,5.6,0
8.2,465,5.5,5.6,0
8.65,407,5.4,5.6,0
8.32,369,5.4,5.6,0
9.07,295,5.4,5.6,0
9.18,280,5.4,5.6,0
8.45,310,5.3,5.6,0
8.45,310,5.3,5.6,0
9.06,255,5.3,5.6,0
8.57,184,5.3,5.6,0
8.31,565,5.2,5.6,0
8.8,690,5.1,5.6,0
8.58,310,5.1,5.6,0
8.6,652,5,5.6,0
8.65,355,5,5.6,0
8.83,288,4.9,5.6,0
8.54,370,4.8,5.6,0
9.3,200,4.8,5.6,0
8.44,424,4.7,5.6,0
8.53,1130,4.6,5.6,0
8.8,250,4.5,5.6,0
8.71,390,4.4,5.6,0
9.38,205,4.4,5.6,0
8.48,187,4.4,5.6,0
7.99,294,4.3,5.6,0
8.9,978,4.2,5.6,0
7.37,293,4.1,5.6,0
9.4,243,4.1,5.6,0
8.5,357,4,5.6,0
8.1,775,3.9,5.6,0
8.91,283,3.9,5.6,0
8.91,283,3.9,5.6,0
8.23,702,3.8,5.6,0
8.16,554,3.8,5.6,0
8.65,187,3.8,5.6,0
9.08,201,3.6,5.6,0
8.39,372,3.5,5.6,0
9.04,186,3.5,5.6,0
8.37,360,3.4,5.6,0
8.83,278,3.4,5.6,0
8.25,250,3.4,5.6,0
8.25,250,3.4,5.6,0
9.08,284,3.3,5.6,0
8.16,304,3.1,5.6,0
8.94,167,3.1,5.6,0
8.5,364,2.8,5.6,0
8.8,282,2.7,5.6,0
8.2,689,2.6,5.6,0
8.7,262,2.6,5.6,0
8.6,281,2.5,5.6,0
8.6,281,2.5,5.6,0
7.8,264,2.3,5.6,0
7.8,264,2.3,5.6,0
8.3,1170,2.1,5.6,0
8.82,356,1.9,5.6,0
8.62,229,0.7,5.6,0
8.3,171,7.9,5.5,0
8.51,455,7.6,5.5,0
8.23,337,6.4,5.5,0
8.23,337,6.4,5.5,0
7.96,302,5.8,5.5,0
8.06,251,5.8,5.5,0
9.19,302,5.7,5.5,0
8.06,485,5.6,5.5,0
8.28,280,5.6,5.5,0
8.18,280,5.6,5.5,0
8.33,498,5.4,5.5,0
8.6,254,5.4,5.5,0
8.42,286,5.2,5.5,0
8.88,242,5.1,5.5,0
8.6,454,5,5.5,0
8.38,377,5,5.5,0
8.1,322,5,5.5,0
8.38,470,4.8,5.5,0
8.62,389,4.8,5.5,0
7.98,564,4.7,5.5,0
7.98,564,4.7,5.5,0
8.93,303,4.5,5.5,0
8.36,449,4.4,5.5,0
8.91,1160,4.3,5.5,0
8.16,591,4.3,5.5,0
8.16,591,4.3,5.5,0
8.24,421,4.3,5.5,0
8.3,341,4.2,5.5,0
8.6,1260,4,5.5,0
8.63,261,4,5.5,0
8.9,226,4,5.5,0
8.9,226,4,5.5,0
8.7,220,4,5.5,0
9.04,706,3.9,5.5,0
8.96,337,3.9,5.5,0
8.96,337,3.9,5.5,0
8.34,262,3.7,5.5,0
8.34,262,3.7,5.5,0
8.58,619,3.6,5.5,0
8.61,314,3.3,5.5,0
8.7,594,3,5.5,0
9.14,215,3,5.5,0
9.14,215,3,5.5,0
8.74,293,2.9,5.5,0
9.02,292,2.9,5.5,0
8.6,293,2.8,5.5,0
8.6,293,2.8,5.5,0
8.6,318,2.7,5.5,0
8.09,602,2.6,5.5,0
8.18,308,2.6,5.5,0
8.18,308,2.6,5.5,0
7.84,464,1.9,5.5,0
8.8,257,1.7,5.5,0
8.84,332,1.6,5.5,0
8.39,232,14,5.4,0
9.3,175,9.4,5.4,0
8.26,408,8.5,5.4,0
8.9,253,7.6,5.4,0
8.94,119,7.5,5.4,0
8.94,119,7.5,5.4,0
8.23,358,7.3,5.4,0
8.5,299,7.2,5.4,0
8.3,273,7,5.4,0
8.43,409,6.8,5.4,0
8.44,372,6.7,5.4,0
8.22,296,6.5,5.4,0
8.22,296,6.5,5.4,0
8.26,272,6.3,5.4,0
8.87,258,6.3,5.4,0
8.46,357,6,5.4,0
8.34,352,6,5.4,0
8.16,286,6,5.4,0
8.2,186,6,5.4,0
7.88,649,5.9,5.4,0
8.28,351,5.9,5.4,0
8.13,396,5.8,5.4,0
8.58,393,5.8,5.4,0
8.52,366,5.8,5.4,0
8.26,330,5.8,5.4,0
8.34,338,5.7,5.4,0
8.38,257,5.5,5.4,0
8.38,257,5.5,5.4,0
8.21,511,5.4,5.4,0
7.7,450,5.4,5.4,0
7.7,450,5.4,5.4,0
8.59,362,5.4,5.4,0
8.46,243,5.4,5.4,0
8.56,389,5.3,5.4,0
8.47,372,5.3,5.4,0
8.23,285,5.2,5.4,0
8.23,285,5.2,5.4,0
8.88,269,5.2,5.4,0
8.1,262,5.2,5.4,0
9.21,255,5.2,5.4,0
8.06,546,5,5.4,0
8.09,1270,4.9,5.4,0
8.66,297,4.9,5.4,0
7.99,290,4.9,5.4,0
8.39,838,4.8,5.4,0
8.46,381,4.8,5.4,0
8.37,323,4.8,5.4,0
9.06,242,4.8,5.4,0
8.2,697,4.7,5.4,0
8.17,604,4.7,5.4,0
8.14,581,4.7,5.4,0
8.57,296,4.7,5.4,0
8.99,224,4.7,5.4,0
8.1,650,4.6,5.4,0
8.7,362,4.6,5.4,0
8.12,590,4.5,5.4,0
8.12,590,4.5,5.4,0
8.3,335,4.5,5.4,0
8.94,318,4.5,5.4,0
8.09,288,4.5,5.4,0
8.92,263,4.4,5.4,0
8.92,263,4.4,5.4,0
8.21,515,4.3,5.4,0
8.36,335,4.2,5.4,0
8.34,317,4.2,5.4,0
8.66,280,4.2,5.4,0
7.4,77,4.2,5.4,0
7.4,77,4.2,5.4,0
7.9,667,4.1,5.4,0
8.53,1340,4,5.4,0
8.86,310,4,5.4,0
7.51,237,4,5.4,0
9,210,4,5.4,0
7.11,74,4,5.4,0
8.8,1310,3.9,5.4,0
8.21,536,3.8,5.4,0
8.21,536,3.8,5.4,0
8.64,360,3.7,5.4,0
8.03,568,3.6,5.4,0
8.03,568,3.6,5.4,0
8.39,635,3.5,5.4,0
8.3,299,3.5,5.4,0
8.92,272,3.5,5.4,0
8.2,672,3.4,5.4,0
8.73,295,3.4,5.4,0
8.25,313,3.1,5.4,0
8.25,313,3.1,5.4,0
8.8,227,3.1,5.4,0
8.4,637,3,5.4,0
9.02,161,3,5.4,0
9.02,161,3,5.4,0
9,227,2.8,5.4,0
7.58,178,2.6,5.4,0
8.63,375,2.4,5.4,0
8.45,289,2.4,5.4,0
8.15,314,2.2,5.4,0
8.15,314,2.2,5.4,0
8.7,267,2.2,5.4,0
8.92,266,2.2,5.4,0
8.83,254,2.1,5.4,0
7.68,268,2,5.4,0
7.68,268,2,5.4,0
9.08,218,11,5.3,1
8,189,7.7,5.3,0
8.3,464,6.8,5.3,0
8.38,382,6.7,5.3,0
8.3,464,6.6,5.3,0
7.66,162,6.3,5.3,0
7.81,650,6,5.3,1
7.81,650,6,5.3,1
8.28,216,5.7,5.3,0
8.1,442,5.6,5.3,0
9.18,288,5.6,5.3,0
7.78,642,5.5,5.3,0
7.78,642,5.5,5.3,0
8.5,406,5.5,5.3,0
9.01,275,5.5,5.3,0
8.84,256,5.5,5.3,0
8.7,411,5.4,5.3,0
8.7,411,5.4,5.3,0
8.26,280,5.4,5.3,0
7.8,905,5.3,5.3,0
8.4,302,5.3,5.3,0
9.28,197,5.3,5.3,0
8.51,322,5.2,5.3,0
8.51,322,5.2,5.3,0
8.1,276,5.1,5.3,0
7.98,253,5.1,5.3,0
7.67,414,5,5.3,0
8.72,416,4.9,5.3,0
8,268,4.8,5.3,0
7.8,634,4.7,5.3,0
8.5,368,4.7,5.3,0
8.81,304,4.6,5.3,0
8.53,417,4.5,5.3,0
8.62,390,4.4,5.3,0
8.78,363,4.4,5.3,0
8.84,228,4.4,5.3,0
8.1,442,4.3,5.3,0
8.32,284,4.3,5.3,0
8.48,322,4.2,5.3,0
8.48,322,4.2,5.3,0
9.58,255,4.2,5.3,0
9.58,255,4.2,5.3,0
8.42,283,4.1,5.3,0
9.06,207,4.1,5.3,0
8.68,362,4,5.3,0
8.53,300,4,5.3,0
7.88,300,4,5.3,0
7.88,300,4,5.3,0
8.45,472,3.5,5.3,0
8.6,257,3.5,5.3,0
9.02,252,3.3,5.3,0
9.39,139,3.3,5.3,0
8.82,884,3.1,5.3,0
8.96,318,3,5.3,0
8.8,538,2.9,5.3,0
8,245,2.8,5.3,0
8.32,299,2.7,5.3,0
8.32,299,2.7,5.3,0
8,571,2.6,5.3,0
8.84,300,2.5,5.3,0
8.68,421,2.3,5.3,0
8.7,251,2.3,5.3,0
8.78,249,2.3,5.3,0
9.3,709,2,5.3,0
8.8,256,1.9,5.3,0
8.99,236,1.5,5.3,0
9,221,1.5,5.3,0
9.22,166,8.7,5.2,0
8.01,240,7.6,5.2,0
8,223,7.4,5.2,0
8.35,582,6.7,5.2,1
8.3,222,6.7,5.2,0
8.41,409,6.6,5.2,0
8.6,300,6.6,5.2,0
8.11,251,6.5,5.2,0
8.48,438,6.4,5.2,0
8.58,392,6.4,5.2,0
8.35,379,6.4,5.2,0
8.5,241,6.3,5.2,0
8.04,339,6.1,5.2,0
8.04,339,6.1,5.2,0
8.34,345,6,5.2,0
8.6,288,6,5.2,0
8.05,610,5.9,5.2,0
8.38,310,5.9,5.2,0
8.38,310,5.9,5.2,0
7.92,292,5.9,5.2,0
9.1,256,5.9,5.2,0
8.4,321,5.8,5.2,0
8,237,5.8,5.2,0
8.2,456,5.7,5.2,0
8.24,417,5.7,5.2,0
8.38,344,5.6,5.2,0
8.5,352,5.5,5.2,0
8.47,712,5.4,5.2,0
8.2,367,5.4,5.2,0
8.39,284,5.4,5.2,0
8.39,284,5.4,5.2,0
9.08,210,5.4,5.2,0
9.2,256,5.3,5.2,0
8.66,229,5.3,5.2,0
8.1,329,5.2,5.2,0
8.61,324,5.2,5.2,0
8.4,323,5.2,5.2,0
9.18,300,5.2,5.2,0
8.7,254,5.2,5.2,0
8.25,612,5.1,5.2,0
8.58,309,5.1,5.2,0
9.17,257,5.1,5.2,0
8.94,255,5.1,5.2,0
8.72,408,5,5.2,0
8.57,301,5,5.2,0
7,132,5,5.2,0
8.6,707,4.9,5.2,0
8.28,314,4.9,5.2,0
9.54,243,4.9,5.2,0
8.6,217,4.9,5.2,0
9.16,201,4.9,5.2,0
8.68,357,4.8,5.2,0
8.84,326,4.8,5.2,0
8.64,307,4.8,5.2,0
8.16,260,4.8,5.2,0
9.52,196,4.8,5.2,0
8.12,288,4.7,5.2,0
8.27,351,4.6,5.2,0
8.8,284,4.6,5.2,0
8.38,428,4.5,5.2,0
8.1,425,4.5,5.2,0
8.38,410,4.5,5.2,0
8.53,409,4.5,5.2,0
8.42,271,4.5,5.2,0
8.69,1670,4.4,5.2,0
8.51,371,4.4,5.2,0
7.75,296,4.4,5.2,0
7.75,296,4.4,5.2,0
8.37,274,4.4,5.2,0
8.06,445,4.3,5.2,0
8.72,389,4.3,5.2,0
8.9,262,4.2,5.2,0
8.9,262,4.2,5.2,0
8.5,515,4,5.2,0
8.58,316,4,5.2,0
7.06,85,3.5,5.2,0
8.8,556,3.4,5.2,0
8.59,284,3.4,5.2,0
8.68,186,3.4,5.2,0
9.36,168,3.4,5.2,0
8.22,213,3.3,5.2,0
8.81,337,3.2,5.2,0
8.7,269,3.2,5.2,0
8.98,284,3.1,5.2,0
8.98,284,3.1,5.2,0
9.24,182,3.1,5.2,0
9.24,182,3.1,5.2,0
8.28,328,3,5.2,0
8.83,302,2.9,5.2,0
8.69,258,2.8,5.2,0
8.89,289,2.6,5.2,0
8.4,170,2.6,5.2,0
8.7,1330,2.5,5.2,0
8.94,272,2.5,5.2,0
9.06,210,2.5,5.2,0
8.85,286,2.2,5.2,0
7.4,83,2.2,5.2,0
8.88,292,2.1,5.2,0
8.82,342,2,5.2,0
8.6,466,1.8,5.2,0
7.06,137,1.7,5.2,0
8.7,321,1.6,5.2,0
7.64,186,12,5.1,0
8.53,336,10,5.1,0
8.31,250,7.9,5.1,0
8.31,250,7.9,5.1,0
8.2,248,7.6,5.1,0
8.17,271,7,5.1,0
7.74,782,6.7,5.1,0
8.1,510,6.3,5.1,0
8.66,218,5.8,5.1,0
9.17,164,5.8,5.1,0
8.57,354,5.5,5.1,0
8.14,576,5.4,5.1,0
8.68,337,5.4,5.1,0
8.24,594,5.3,5.1,0
8.6,472,5.3,5.1,0
8.34,497,5.2,5.1,0
8.82,333,5.2,5.1,0
8.64,247,5.2,5.1,0
7.88,248,5.1,5.1,0
7.9,280,4.9,5.1,0
8.44,245,4.9,5.1,0
7.91,183,4.9,5.1,0
9.3,180,4.9,5.1,0
8.38,368,4.7,5.1,0
8.54,316,4.6,5.1,0
8.06,301,4.6,5.1,0
7.71,204,4.6,5.1,0
7.71,204,4.6,5.1,0
8.23,584,4.5,5.1,0
8.2,498,4.5,5.1,0
9.01,227,4.4,5.1,0
8.4,283,4.2,5.1,0
8.68,387,4.1,5.1,0
8.68,387,4.1,5.1,0
9.07,233,4,5.1,0
8.26,524,3.5,5.1,0
8.26,524,3.5,5.1,0
8.15,524,3.4,5.1,0
8.73,256,3.4,5.1,0
7.68,199,3.4,5.1,0
7.68,199,3.4,5.1,0
8.69,422,3.3,5.1,0
7.74,298,3.3,5.1,0
7.74,298,3.3,5.1,0
8.33,350,3.2,5.1,0
9,229,3.2,5.1,0
9.08,182,3.2,5.1,0
8.62,334,3.1,5.1,0
8.82,248,3.1,5.1,0
8.98,339,3,5.1,0
8.81,270,2.9,5.1,0
8.7,999,2.8,5.1,0
8.01,307,2.8,5.1,0
8.01,307,2.8,5.1,0
9,236,2.8,5.1,0
8.4,376,2.7,5.1,0
8.73,324,2.6,5.1,0
8.5,1440,2.5,5.1,0
8.6,347,2.5,5.1,0
8.09,297,2.5,5.1,0
8.9,224,2.5,5.1,0
8.77,350,2,5.1,0
8.31,318,2,5.1,0
8.84,310,2,5.1,0
8.7,242,2,5.1,0
8.74,313,1.6,5.1,0
8.79,310,1.6,5.1,0
8.01,259,13,5,0
8.75,261,7.9,5,0
8.75,261,7.9,5,0
8.56,436,7.5,5,0
8.21,398,7.2,5,0
8.4,323,6.8,5,0
8.02,486,6.7,5,0
7.98,525,6.5,5,0
7.98,525,6.5,5,0
8.86,217,6.5,5,0
8.7,225,6.4,5,0
8.25,399,6.1,5,0
8.19,215,6.1,5,0
8.1,446,5.9,5,0
8.6,421,5.9,5,0
8.7,424,5.7,5,0
8.52,259,5.5,5,0
8.68,353,5.4,5,0
8.1,348,5.4,5,0
8.54,387,5.3,5,0
8.4,302,5.3,5,0
8.55,440,5.2,5,0
8.55,440,5.2,5,0
8.12,398,5.2,5,0
9.54,252,5.2,5,0
9.54,252,5.2,5,0
8.7,651,5.1,5,0
8.64,439,5.1,5,0
8.41,313,5,5,0
8.41,313,5,5,0
8.2,704,4.9,5,0
8.74,296,4.9,5,0
8.65,311,4.7,5,0
8.15,296,4.7,5,0
8.15,296,4.7,5,0
8.32,576,4.5,5,0
8.75,358,4.5,5,0
8.92,232,4.5,5,0
9.46,194,4.5,5,0
8.66,460,4.4,5,0
8.21,519,4.3,5,0
9.09,227,4.3,5,0
7.94,571,4.2,5,0
7.94,571,4.2,5,0
8,550,4.2,5,0
7.98,578,4.1,5,0
8.3,399,4.1,5,0
8.55,354,4.1,5,0
8.72,293,4.1,5,0
8.2,270,4.1,5,0
8.13,251,4.1,5,0
8.9,250,4.1,5,0
8.48,318,4,5,0
8.48,318,4,5,0
8.4,312,4,5,0
7.38,239,4,5,0
8.34,409,3.8,5,0
8.63,308,3.8,5,0
8.86,285,3.8,5,0
8.86,285,3.8,5,0
9,266,3.8,5,0
8.64,244,3.8,5,0
8.64,244,3.8,5,0
8.29,840,3.7,5,0
8.26,462,3.7,5,0
8.47,390,3.7,5,0
8.62,334,3.5,5,0
8.76,258,3.5,5,0
8.46,481,3.4,5,0
8.5,416,3.4,5,0
8.44,266,3.3,5,0
8.72,216,3.3,5,0
8.44,287,3.2,5,0
8.41,270,3.2,5,0
8.26,251,3.2,5,0
9.13,292,3.1,5,0
9.22,280,3.1,5,0
9.04,222,3.1,5,0
8.5,272,3,5,0
9.18,304,2.9,5,0
8,265,2.9,5,0
8.5,3180,2.8,5,0
8.91,276,2.8,5,0
8.24,268,2.8,5,0
7.8,299,2.7,5,0
8.9,266,2.7,5,0
8.64,250,2.7,5,0
8.99,211,2.7,5,0
8.06,442,2.6,5,0
8.23,303,2.6,5,0
8.74,283,2.5,5,0
8.74,283,2.5,5,0
8.9,630,2.4,5,0
8.78,277,2.4,5,0
7.5,74,2.3,5,0
7.5,74,2.3,5,0
8.5,348,2.2,5,0
8.98,274,2.2,5,0
8.98,274,2.2,5,0
8.78,360,2,5,0
8.4,295,7.7,4.9,0
8.3,171,7.7,4.9,0
8.5,451,7,4.9,0
8.42,440,6.2,4.9,0
8.36,282,5.9,4.9,0
8.72,247,5.9,4.9,0
8.78,213,5.9,4.9,0
8.78,213,5.9,4.9,0
8.46,439,5.8,4.9,0
8.18,330,5.7,4.9,0
7.7,377,5.5,4.9,0
8.35,368,5.5,4.9,0
8.08,536,5.4,4.9,0
8.6,470,5.4,4.9,0
8.56,443,5.4,4.9,0
8.61,331,5.4,4.9,0
8.6,472,5.3,4.9,0
8.95,361,5.3,4.9,0
8.44,282,5.3,4.9,0
8.5,284,5.2,4.9,0
8.4,368,5.1,4.9,0
8.36,286,5,4.9,0
8.38,287,4.9,4.9,0
8.9,232,4.9,4.9,0
8.12,486,4.8,4.9,0
8.3,372,4.8,4.9,0
8.54,292,4.8,4.9,0
8.4,877,4.7,4.9,0
8.56,305,4.7,4.9,0
8.56,305,4.7,4.9,0
